achado,fonte
Scarlet FIDC = Carriet Inventory FIDC (renomeacao 23/01/2025 na mesma AGE que trocou gestor pra Reag Jus),FNET id824330 (regulamento) vs id789348 (ata anterior)
"O fundo que a Receita Federal hoje cita como 'Scarlet R$ 2,5 bi do Master' eh o MESMO que o Luan ja havia mapeado como 'Carriet Inventory cedeu CCB de Lormont (R$ 325 mi) ao SDG II em 27/09/2024'",DF SDG II id963178 / Luan reconstrucao + DF id865183
Administrado pela Reag DTVM (CNPJ 34.829.992/0001-86 = CBSF) - MESMA admin do SDG II e Gold Style. 3 fundos do escandalo sob a mesma administradora,DF id865183 + Informe mensal id1185251
Gestora trocou de Reag Trust Adm Recursos para REAG JUS GESTAO DE ATIVOS JUDICIAIS em 23/01/2025 - mesmo movimento estrutural do Gold Style (02/09/2024) e SDG II,Ata id824327 + Regulamento id824330
Fundo EXCLUSIVO + COTISTA VINCULADO - regulamento restringe cotistas a entidades pre-aprovadas,"Informe mensal id1185251 (FDO_EXCL=SIM, COTST_VINCUL=SIM)"
Apenas 6 cotistas em abr/2026 (2 bancos + 1 FIF + 3 outros fundos),FNET id1185251
"PL cresceu de R$ 1,65 bi (dez/2024) para R$ 2,71 bi (abr/2026) - +R$ 1,06 bi pos-mudanca pra Reag Jus",DF id865183 vs informe mensal id1185251
Composicao da carteira em abr/2026 mudou: ativos judiciais novos (acoes judiciais R$ 304 mi + precatorios setor publico R$ 269 mi) - coerente com nova gestora 'Reag Jus Gestao de Ativos Judiciais',Informe mensal id1185251
Auditor TATICCA emitiu parecer com OPINIAO LIMPA sobre DF 2024 (diferente do SDG II e Gold Style que tiveram ABSTENCAO) - mas DF cobre periodo de apenas 7 meses (31/05 a 31/12/2024),DF id865183 parecer auditor
Em dez/2024 o fundo ja tinha R$ 469 mi em debentures + R$ 20 mi em CCBs - ja era veiculo de divida em poucos meses apos constituicao,DF id865183 nota 6
"Trimestral 1T2026 (entregue 19/05/2026): TODAS as 16 perguntas obrigatorias respondidas com 'Dada a liquidacao, nao foi realizada' - PADRAO IDENTICO ao Gold Style",FNET id1199327
"Aplicacao no FIP Hans II de R$ 70 mi (dez/2024) - conecta com a materia que cita Hans II FIP MULT como destino principal de Vorcaro (R$ 1,2 bi de aporte; PL R$ 3,6 bi -> R$ 83 mi pos-revisao)",DF id865183 nota 5
