id,source,target,tipo,detalhes,fonte
128,ANDRE_MENDONCA,POLICIA_FEDERAL,AUTORIZOU,Decisão STF 27/05/2026 — 8ª fase Compliance Zero,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
138,ASTER_PETROLEO,FIDC_GOLD_STYLE,APORTOU,"R$ 759,5 mi para o Gold Style",G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
141,ASTER_PETROLEO,HD_PETROLEO,CONTROLA,Rede de postos em Teresina/PI,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
142,ASTER_PETROLEO,COPAPE,COMERCIALIZA,Combustíveis fabricados pela Copape,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
109,AUGUSTO_LIMA,NGV_SPE,LIGADO_A,Empresário ligado à NGV SPE.,ICL/Folha 2026-05-28
110,AUGUSTO_LIMA,BANCO_MASTER,EX_SOCIO,Ex-sócio de Daniel Vorcaro no Banco Master.,ICL/Folha 2026-05-28
152,AUGUSTO_LIMA,BANCO_VOITER,ADQUIRIU,07/2025 — após sair Master em 05/2024,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
113,BANCO_CENTRAL,BANCO_MASTER,INVESTIGA,Investiga fraudes contábeis e simulações de crédito do banco.,ICL/Folha 2026-05-28
114,BANCO_CENTRAL,FUNDO_ANNA,IDENTIFICOU_FRAUDE,Identificado como um dos 6 fundos fraudulentos no início das investigações.,ICL/Folha 2026-05-28
94,BANCO_MASTER,FUNDO_SDG_II,CESSAO_CREDITO,"Vendeu R$ 1,1 bilhão diretamente em direitos creditórios podres.",ICL/Folha 2026-05-28
99,BANCO_MASTER,LORMONT_PART,CESSAO_CREDITO,Vendeu R$ 102 milhões em créditos vinculados à Lormont para o SDG II.,ICL/Folha 2026-05-28
112,BANCO_MASTER,MKS_SOLUCOES,EMPRESTIMO_SIMULADO,MKS realizou empréstimo simulado com o Master para alimentar o ciclo.,ICL/Folha 2026-05-28
127,BANCO_MASTER,MIDIAS_PROMOTORA,PAGAMENTO,R$ 126 mi transferidos entre 2022 e 2025,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
