node_id,label,tipo,descricao,cnpj,fonte
PLANNER,Planner Corretora,Corretora,Mauricio Quadrado foi sócio até 2022,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
CBSF_DTVM,CBSF DTVM (ex-Reag Trust),DTVM,Liquidada 15/01/2026; alameda Gabriel Monteiro da Silva,34829992000186,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
TRUMP_HOTEL_BARRA,Antigo Trump Hotel Barra/RJ,Empresa,Vítima de fraude R$ 17 mi por Ricardo Siqueira,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
ASTER_PETROLEO,Aster Petróleo LTDA.,Empresa,"Carbono Oculto PCC; R$ 759,5 mi para Gold Style; controla HD em PI",02377759000113,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BANVOX,Banvox,Empresa,Empresa ex-Maurício Quadrado; emitiu R$ 380 milhões em debêntures.,38461854000148,ICL/Folha 2026-05-28
COPAPE,Copape Produtos de Petróleo,Empresa,Fornece combustíveis para Aster; PCC,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
DV_HOLDING,DV Holding,Empresa,Holding de Daniel Vorcaro que absorveu as debêntures da Banvox.,57445179000108,ICL/Folha 2026-05-28
HD_PETROLEO,HD Petróleo (postos PI),Empresa,Rede de postos em Teresina/PI controlada pela Aster,21228180000133,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
LORMONT_PART,Lormont Participações,Empresa,Empresa ligada a Nelson Tanure; recebeu R$ 553 milhões mapeados no fundo.,34263138000103,ICL/Folha 2026-05-28
MKS_SOLUCOES,MKS Soluções Integradas,Empresa,Uma das 36 empresas com empréstimos simulados; cotista do SDG II.,,ICL/Folha 2026-05-28
MIDIAS_PROMOTORA,Mídias Promotora Ltda,Empresa,R$ 126 mi do Master 2022-2025; sócio aparente Gilson Vasconcelos (laranja),,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
NGV_SPE,NGV SPE,Empresa,Empresa ligada a Augusto Lima; emitiu R$ 30 mi em debêntures com prazos adiados.,,ICL/Folha 2026-05-28
SUPER_EMPREENDIMENTOS,Super Empreendimentos,Empresa,"Braço financeiro de Daniel Vorcaro, dona da casa de Brasília.",31446245000170,ICL/Folha 2026-05-28
TIRRENO,Tirreno (empresa-fachada),Empresa,"Fachada do Vorcaro; R$ 12,2 bi em carteiras fictícias para BRB",,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
BK_BANK,BK Bank (Instituição de Pagamento),Fintech/IP,Banco-sombra do PCC; R$ 9 bi 2020-2024; R$ 158 mi para Gold Style,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
INOVANTI,Inovanti Instituição de Pagamento,Fintech/IP,Carbono Oculto; R$ 175 mi para Gold Style; R$ 778 mi totais movimentados,,G1+CNN+ICL+Agência Brasil+Metropoles 27-28/05/2026 + Reag/CBSF 15/01/2026
